num_plaquettes,max_bond,truncation_threshold,observable,value,ideal_trotter,exact_hamiltonian
12,64,1e-14,ZZ4,-0.194257664886124,,
16,8,1e-10,norm,0.9999999991612637,,
16,8,1e-10,ZZ10,-0.29514555421822536,,
16,8,1e-10,ZZ12,-0.27994681181457937,,
16,8,1e-10,ZZ9,-0.37996373541656536,,
16,8,1e-10,ZZ8,-0.19425663787489295,,
16,8,1e-10,total_energy,2.525758472686611,,
16,8,1e-10,ZZ7,0.5440965097412112,,
16,8,1e-10,ZZ11,-0.2747586989341184,,
16,8,1e-10,ZZ6,-0.19425663390842937,,
16,8,1e-10,magnetic_energy,-17.36420494113509,,
16,8,1e-10,ZZ3,-0.2747587394319365,,
16,8,1e-10,ZZ1,-0.27299207722491087,,
16,8,1e-10,electric_energy,19.889963413821704,,
16,8,1e-10,ZZ4,-0.2951456793256877,,
16,8,1e-10,X15,0.5630069708250569,,
16,8,1e-10,ZZ13,-0.272991977185253,,
16,8,1e-10,Z9,0.38917807840194607,,
16,8,1e-10,X3,0.4759370881706042,,
16,8,1e-10,X12,0.47593710888918966,,
16,8,1e-10,Z8,-0.32554758545408125,,
16,8,1e-10,Z7,-0.3255475757901098,,
16,8,1e-10,Z6,0.3891780715570731,,
16,8,1e-10,Z10,-0.12187781150162509,,
16,8,1e-10,ZZ0,-0.302667573933469,,
16,8,1e-10,Z4,0.08207835023852303,,
16,8,1e-10,Z12,0.04361871776501955,,
16,8,1e-10,X13,0.4775971665472196,,
16,8,1e-10,X0,0.5630069706796196,,
16,8,1e-10,Z3,0.043618724612418905,,
16,8,1e-10,X11,0.45651084479978293,,
16,8,1e-10,Z2,0.04062143474344036,,
16,8,1e-10,X10,0.5057077619628554,,
16,8,1e-10,Z1,0.10206846273992508,,
16,8,1e-10,ZZ2,-0.279946692042171,,
16,8,1e-10,X7,-0.188457282837378,,
16,8,1e-10,Z0,-0.23751589828742134,,
16,8,1e-10,Z14,0.10206846328074655,,
16,8,1e-10,Z15,-0.23751589715113966,,
16,8,1e-10,X1,0.4497341957781967,,
16,8,1e-10,X2,0.4775972335702916,,
16,8,1e-10,ZZ5,-0.3799637363836976,,
16,8,1e-10,Z13,0.04062142581693784,,
16,8,1e-10,X4,0.4565108770449591,,
16,8,1e-10,ZZ14,-0.302667560945482,,
16,8,1e-10,X14,0.44973421256307383,,
16,8,1e-10,Z11,0.08207834983839384,,
16,8,1e-10,X5,0.5057076977513112,,
16,8,1e-10,Z5,-0.12187785261963689,,
16,8,1e-10,X6,0.26292138015656985,,
16,8,1e-10,X8,-0.18845727299327864,,
16,8,1e-10,X9,0.26292139387553876,,
16,32,1e-14,norm,0.9999999999992135,,
